Year,Link,Abstract
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872242515&partnerID=40&md5=1e1ad938bb1f77e3e55894f998af6ef1",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924837644&partnerID=40&md5=6e19e2f1d2ef64e7be180cda4d80fe88",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872253870&partnerID=40&md5=60b4cd336145b4261d8e7b04463c34bf",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872257476&partnerID=40&md5=34bdfbc7a8f760109f612a19d3ee8b51",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872225006&partnerID=40&md5=e9357c59b274bff15a0cdf6e147db4bf",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924841468&partnerID=40&md5=b03f96f8765a75b0080cb060487fb985",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924837854&partnerID=40&md5=f167d95c39007be914931f324fdc5783",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925222077&partnerID=40&md5=097340bdd6a2b5bc3d99ae440dca5b85",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925226790&partnerID=40&md5=cef51beed679926ff6aa172028d1ddfb",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871524238&partnerID=40&md5=8f6d32a02f839bc4f4cd56ae96b2c471",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874717967&partnerID=40&md5=dcc8f73c1d60322d01c41da223a8b233","Our readers agreed that the Patient Protection and Affordable Care Act was a hot topic for the country in 2012, telling us in a poll that the U.S. Supreme Court's decision upholding the ACA was the No. 1 news story of the year. Dr. Sonia Nagda, left, attaches a pin supporting the reform law in March, as the Supreme Court began three days of arguments."
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874668464&partnerID=40&md5=2c1810cc6ab1f0fe699548060c879b3c",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84862241536&doi=10.1891%2f1521-0987.13.1.37&partnerID=40&md5=c4558ad8907ec61289b940c89063095b",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874745496&partnerID=40&md5=28c56c78f2f1ae015866c8a2dec89779",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874742376&partnerID=40&md5=858961811f7a626d3f83a658c74b3421",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871319054&doi=10.1056%2fNEJMp1209450&partnerID=40&md5=1c08da2c4cdcc6ac80aef197bd7c2694",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871348738&doi=10.1001%2fjama.2012.45428&partnerID=40&md5=1407e6a6a0d9b931f1e5257e68ea1c00",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872099065&partnerID=40&md5=7d3a5a973b1e8faf19bdbf76d30adbe3","The Patient Protection and Affordable Care Act of 2010 and the Supreme Court's related decision have significantly shifted the health care landscape for safety net providers. Federally qualified health centers (FQHCs) are a mainstay of primary care for the uninsured and those with limited access to care. This paper focuses on the impact of health reform on FQHCs given the significant federal investment in them through grants, Medicaid, and Medicare reimbursement. Where noteworthy, the effect on non-FQHC community clinics is also discussed. The implications of Medicaid coverage expansions (or lack thereof in states that choose not to expand), Medicaid disproportionate share hospital program cuts, discretionary budgets and sequestration, Medicare payment changes, contracting with qualified health plans in state health insurance exchanges, and delivery system reforms are explored."
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874718021&partnerID=40&md5=9165f00774c5bee8fd14954123725971",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874688112&partnerID=40&md5=f04b6101ada23ac9e0da2d66ce42f404",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874678932&partnerID=40&md5=234dadc6a7204a2dcfdab5be4ff8fa27",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874670639&partnerID=40&md5=52b0a4c2929f0ffae559c01d1452e188","Providers pursuing mergers to better coordinate care for patients are becoming exasperated by antitrust actions, saying recent FTC cases have left them confused. ""You can't know ahead of time whether something is or is not OK. There are certain extremes where you can know if something is extreme or perfectly OK, but there is a wide range of possibilities in between,"" says Dr. David Pate, left, of St. Luke's Health System, Boise, Idaho."
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870952327&doi=10.1891%2f0198-8794.31.167&partnerID=40&md5=b430909d2f09f67437b0c875bd90094a","This chapter explores the potential role direct care workers can play in ensuring appropriate and safe transitions across settings. Direct care workers are critical to the transitional care process and outcomes because they provide the majority of hands-on care to older adults across a range of settings where transitions occur. Their close relationship with residents, clients, and family members allows them to serve as a bridge between the health care system and the consumer. However, it is diffi cult to recruit and retain direct care workers and to develop a quality, competent workforce. Insuffi cient initial and ongoing training, without a specifi c focus on transitions of care, leaves these workers inadequately prepared and supported to address the complex health and functional needs of older adults and to have an active part of any transition team. Direct care workers are often forgotten partners in care coordination teams, even though they can be integral to successful transitions. This chapter concludes with a call to recognize direct care workers as a critical part of the transitional care team, the need for better training and organizational support to attain this goal, and the implications for public policy and practice. The passage of the Patient Protection and Affordable Care Act (PPACA), often referred to as the Affordable Care Act, with signifi cant attention on care coordination and successful transitions from one setting to another, provides an opportunity for direct care workers to be formally integrated into the process. © 2011 Springer Publishing Company."
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870861341&doi=10.1891%2f0198-8794.31.209&partnerID=40&md5=7780af73257f0a859c35f9d06b7a1465","This chapter highlights why and how policy makers have directed their attention to transitional care models, some of the barriers to transitional care adoption, and,ultimately, the adoption of several important policy initiatives supporting transitional care. It describes key policy initiatives adopted under recent health reform legislation, the Patient Protection and Affordable Care Act of 2010, that promise to improve care for patients transitioning across care settings such as the Medicare Community-Based Care Transitions Program; incentives to reduce Medicare hospital readmissions; the Medicare Independence at Home Demonstration; medical home models in Medicare and Medicaid; community health teams to support medical homes, regardless of payor type; and workforce improvements that will support transitions of care. This chapter discusses implications of these initiatives, related research, promising transitional care models, and results of some recent efforts to improve care coordination, such as the Medicare Coordinated Care Demonstration. This chapter summarizes key policy provisions, mostly in the form of demonstration projects, designed to improve transitionalcare and care coordination, particularly for people with chronic conditions and their caregivers who receive fee-for-service health care under Medicare, Medicaid, and private health insurance. This chapter also describes selected policy initiatives intended to address the health care workforce needs of older adults who experience transitions and their informal caregivers. This chapter concludes with implications of the potential gains that may be achieved, as well as some of the shortcomings of these policy initiatives. © 2011 Springer Publishing Company."
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870668218&doi=10.1002%2fcncr.27685&partnerID=40&md5=a77f4b0479c5717512ee00419932bbde","The lack of health insurance in young adults in the United States explains much of the delay in the diagnosis of, and more advanced cancer in, this age group compared with younger and older persons. The Patient Protection and Affordable Care Act should begin to rectify the disparity as evidenced by the 2.5-million increase in the number of individuals aged 19 years to 25 years covered by health insurance since passage of the Act in September 2010. Copyright © 2012 American Cancer Society."
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871858310&partnerID=40&md5=0534a66b1704ddeb119eb53107c44e9b",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861664653&partnerID=40&md5=2874087ae0685d32f17dd1f744adfe76","Healthcare deficiencies in the United States have long been perpetuated by a shortage of primary care providers. A core purpose of the Patient Protection and Affordable Care Act (PPACA) is to provide health insurance for America's approximately fifty million uninsured. Implementation of universal health insurance, however, does not mean sufficient healthcare access for all, since the supply of physicians does not and will not meet demand. For reasons reviewed in this Article, the current physician shortage mainly impacts primary care providers. This shortage is particularly troubling because increased provision of primary care relative to specialty care has been associated with improvement in health outcomes, disease prevention, cost effectiveness, and coordination of care. This Article highlights provisions in the PPACA that impact primary care physicians. Finally, this Article proposes the creation of a universal primary care loan repayment program and a national residency exchange designed to alleviate the U.S. primary care crisis by facilitating optimal distribution of resident physicians in each medical specialty based on community need. © 2012 American Society of Law, Medicine & Ethics Boston University School of Law."
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872352060&doi=10.1097%2f01.NPR.0000422210.15422.49&partnerID=40&md5=79283f3ce0ac370467a8e7b834a648cc",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876587482&partnerID=40&md5=dfa7129fbf56e7694e3a54a69e9a910c",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876540742&partnerID=40&md5=539049e3db5ec2152ebf666a01328155",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874543286&partnerID=40&md5=4ca8581690c6820c9749e126efdd6312",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871904389&partnerID=40&md5=acf5441588722693f362c500427e1b1c","Medicare spending on post-acute care provided by skilled nursing facility providers, home health providers, inpatient rehabilitation facility providers, and long-term care hospitals has grown rapidly in the past several years. The Medicare Payment Advisory Commission and others have noted several long-standing problems with the payment systems for post-acute care and have suggested refinements to Medicare's post-acute care payment systems that are intended to encourage the delivery of appropriate care in the right setting for a patient's condition. The Patient Protection and Affordable Care Act of 2010 contained several provisions that affect the Medicare program's post-acute care payment systems and also includes broader payment reforms, such as bundled payment models. This issue brief describes Medicare's payment systems for post-acute care providers, evidence of problems that have been identified with the payment systems, and policies that have been proposed or enacted to remedy those problems."
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871908755&partnerID=40&md5=6d7fa99d01350414cb2f74885a1ae4e3","This document contains final regulations that implement and provide guidance on the fees imposed by the Patient Protection and Affordable Care Act on issuers of certain health insurance policies and plan sponsors of certain self-insured health plans to fund the Patient-Centered Outcomes Research Trust Fund. These final regulations affect the issuers and plan sponsors that are directed to pay those fees."
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870497068&doi=10.1056%2fNEJMp1213674&partnerID=40&md5=82474556f5938990ca6597e645c76fc4",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870273239&doi=10.1089%2fgen.32.1.09&partnerID=40&md5=c9f5ff1fde4d027b6268bc2afdf46ae1",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874517054&partnerID=40&md5=349e1891ce092176d01589ee0a0dd017",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874521227&partnerID=40&md5=67c0edb6b606936afd761d6efcfa6b2f",[No abstract available]
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874549803&partnerID=40&md5=2486caad213ee294ea73856226a6d1cb","Twenty physicians, including Rep. Tom Price (R-Ga.), left, will be part of the 113th Congress that gets to work early next year. But this GOP-dominated group of doctors will wield influence beyond their numbers on healthcare policy and are armed with focused agendas on what to do next. We looked at the legislative records of these representatives and senators and got their perspectives on some key issues."
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873433049&doi=10.5888%2fpcd9.120092&partnerID=40&md5=e99b5d2897218a81adca4a764c76771c","Public health in the United States can be improved by building workplace ""cultures of health"" that support healthy lifestyles. The Affordable Care Act (ACA), which includes the Prevention and Public Health Fund, will support a new focus on prevention and wellness, offering opportunities to strengthen the public's health through workplace wellness initiatives. This article describes the opportunity the ACA provides to improve worker wellness."
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872260700&doi=10.5034%2finquiryjrnl_49.03.08&partnerID=40&md5=ce740cb89cac35758d92238e172caf01","Steep declines in the uninsured population under the Affordable Care Act (ACA) will depend on high enrollment among newly Medicaid-eligible adults. We use the 2009 American Community Survey to model pre-ACA eligibility for comprehensive Medicaid coverage among nonelderly adults. We identify 4.5 million eligible but uninsured adults. We find a Medicaid participation rate of 67% for adults; the rate is 17 percentage points lower than the national Medicaid participation rate for children, and it varies substantially across socioeconomic and demographic subgroups and across states. Achieving substantial increases in coverage under the ACA will require sharp increases in Medicaid participation among adults in some states. © 2012 Excellus Health Plan, Inc."
2012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874277444&partnerID=40&md5=6bb56da212d0dd7e97d3d1e8dbf19643","The Health Insurance Portability and Accountability Act (HIPAA) and the Patient Protection and Affordable Care Act (PPACA) are currently the two most important healthcare laws in the United States. In this critical glossary, we have compiled terms from these two laws or from other, less important legislation that forms the legal and administrative framework of the United States healthcare system. The terms which appear here are those which translators may find difficult or misleading. This glossary has been created for EN-ES translation, so entries have been chosen not only for their legal and administrative importance, but also for their relevance for translators."
